accessionNumber,filingDate,form,fileNumber,filmNumber,items,size,isXBRL,isInlineXBRL,primaryDocument,primaryDocDescription,Ticker,CIK
0000320193-24-000116,2024-10-17,4,,,,15760,0,0,xslF345X05/wk-form4_1729204211.xml,FORM 4,AAPL,0000320193
0000320193-24-000114,2024-10-08,4,,,,5246,0,0,xslF345X05/wk-form4_1728426607.xml,FORM 4,AAPL,0000320193
0000320193-24-000112,2024-10-03,4,,,,15107,0,0,xslF345X05/wk-form4_1727994654.xml,FORM 4,AAPL,0000320193
0000320193-24-000111,2024-10-03,4,,,,10988,0,0,xslF345X05/wk-form4_1727994644.xml,FORM 4,AAPL,0000320193
0000320193-24-000110,2024-10-03,4,,,,20468,0,0,xslF345X05/wk-form4_1727994634.xml,FORM 4,AAPL,0000320193
0000320193-24-000109,2024-10-03,4,,,,18949,0,0,xslF345X05/wk-form4_1727994624.xml,FORM 4,AAPL,0000320193
0000320193-24-000108,2024-10-03,4,,,,14852,0,0,xslF345X05/wk-form4_1727994612.xml,FORM 4,AAPL,0000320193
0000320193-24-000101,2024-10-01,4,,,,8154,0,0,xslF345X05/wk-form4_1727822082.xml,FORM 4,AAPL,0000320193
0000320193-24-000100,2024-10-01,4,,,,5828,0,0,xslF345X05/wk-form4_1727822040.xml,FORM 4,AAPL,0000320193
0000320193-24-000099,2024-10-01,4,,,,8153,0,0,xslF345X05/wk-form4_1727821995.xml,FORM 4,AAPL,0000320193
0000320193-24-000098,2024-10-01,4,,,,8114,0,0,xslF345X05/wk-form4_1727821948.xml,FORM 4,AAPL,0000320193
0000320193-24-000097,2024-10-01,4,,,,8123,0,0,xslF345X05/wk-form4_1727821902.xml,FORM 4,AAPL,0000320193
0000320193-24-000096,2024-10-01,4,,,,10464,0,0,xslF345X05/wk-form4_1727821838.xml,FORM 4,AAPL,0000320193
0000320193-24-000088,2024-08-19,4,,,,4679,0,0,xslF345X05/wk-form4_1724106610.xml,FORM 4,AAPL,0000320193
0000320193-24-000086,2024-08-13,4,,,,5031,0,0,xslF345X05/wk-form4_1723590126.xml,FORM 4,AAPL,0000320193
0000320193-24-000084,2024-08-07,4,,,,8270,0,0,xslF345X05/wk-form4_1723069808.xml,FORM 4,AAPL,0000320193
0000320193-24-000075,2024-06-03,4,,,,5734,0,0,xslF345X05/wk-form4_1717453877.xml,FORM 4,AAPL,0000320193
0000320193-24-000073,2024-05-17,4,,,,4682,0,0,xslF345X05/wk-form4_1715985021.xml,FORM 4,AAPL,0000320193
0000320193-24-000071,2024-05-14,4,,,,4621,0,0,xslF345X05/wk-form4_1715725806.xml,FORM 4,AAPL,0000320193
0000320193-24-000058,2024-04-17,4,,,,16177,0,0,xslF345X05/wk-form4_1713393040.xml,FORM 4,AAPL,0000320193
0000320193-24-000056,2024-04-15,4,,,,5376,0,0,xslF345X05/wk-form4_1713220262.xml,FORM 4,AAPL,0000320193
0000320193-24-000055,2024-04-15,4,,,,8967,0,0,xslF345X05/wk-form4_1713220215.xml,FORM 4,AAPL,0000320193
0000320193-24-000052,2024-04-03,4,,,,13862,0,0,xslF345X05/wk-form4_1712183631.xml,FORM 4,AAPL,0000320193
0000320193-24-000051,2024-04-03,4,,,,15688,0,0,xslF345X05/wk-form4_1712183580.xml,FORM 4,AAPL,0000320193
0000320193-24-000050,2024-04-03,4,,,,13686,0,0,xslF345X05/wk-form4_1712183535.xml,FORM 4,AAPL,0000320193
0000320193-24-000049,2024-04-03,4,,,,15012,0,0,xslF345X05/wk-form4_1712183493.xml,FORM 4,AAPL,0000320193
0000320193-24-000048,2024-04-03,4,,,,15718,0,0,xslF345X05/wk-form4_1712183434.xml,FORM 4,AAPL,0000320193
0000320193-24-000039,2024-03-01,4,,,,5739,0,0,xslF345X05/wk-form4_1709336196.xml,FORM 4,AAPL,0000320193
0000320193-24-000038,2024-03-01,4,,,,5742,0,0,xslF345X05/wk-form4_1709336160.xml,FORM 4,AAPL,0000320193
0000320193-24-000037,2024-03-01,4,,,,5618,0,0,xslF345X05/wk-form4_1709336113.xml,FORM 4,AAPL,0000320193
0000320193-24-000036,2024-03-01,4,,,,8280,0,0,xslF345X05/wk-form4_1709336072.xml,FORM 4,AAPL,0000320193
0000320193-24-000035,2024-03-01,4,,,,5730,0,0,xslF345X05/wk-form4_1709336002.xml,FORM 4,AAPL,0000320193
0000320193-24-000034,2024-03-01,4,,,,5747,0,0,xslF345X05/wk-form4_1709335956.xml,FORM 4,AAPL,0000320193
0000320193-24-000033,2024-03-01,4,,,,5721,0,0,xslF345X05/wk-form4_1709335906.xml,FORM 4,AAPL,0000320193
0000320193-24-000022,2024-02-05,4,,,,8450,0,0,xslF345X05/wk-form4_1707176223.xml,FORM 4,AAPL,0000320193
0000320193-24-000021,2024-02-05,4,,,,7061,0,0,xslF345X05/wk-form4_1707176183.xml,FORM 4,AAPL,0000320193
0000320193-24-000020,2024-02-05,4,,,,6935,0,0,xslF345X05/wk-form4_1707176141.xml,FORM 4,AAPL,0000320193
0000320193-24-000019,2024-02-05,4,,,,7771,0,0,xslF345X05/wk-form4_1707176086.xml,FORM 4,AAPL,0000320193
0000320193-24-000018,2024-02-05,4,,,,7048,0,0,xslF345X05/wk-form4_1707176011.xml,FORM 4,AAPL,0000320193
0000320193-24-000017,2024-02-05,4,,,,7064,0,0,xslF345X05/wk-form4_1707175959.xml,FORM 4,AAPL,0000320193
0000320193-24-000016,2024-02-05,4,,,,7057,0,0,xslF345X05/wk-form4_1707175909.xml,FORM 4,AAPL,0000320193
0000320193-24-000015,2024-02-05,4,,,,7064,0,0,xslF345X05/wk-form4_1707175857.xml,FORM 4,AAPL,0000320193
0000320193-23-000113,2023-12-01,4,,,,4600,0,0,xslF345X05/wk-form4_1701473530.xml,FORM 4,AAPL,0000320193
0000320193-23-000111,2023-11-20,4,,,,8165,0,0,xslF345X05/wk-form4_1700523067.xml,FORM 4,AAPL,0000320193
0000320193-23-000109,2023-11-14,4,,,,5066,0,0,xslF345X05/wk-form4_1700004649.xml,FORM 4,AAPL,0000320193
0000320193-23-000099,2023-10-17,4,,,,16029,0,0,xslF345X05/wk-form4_1697581839.xml,FORM 4,AAPL,0000320193
0000320193-23-000097,2023-10-10,4,,,,4875,0,0,xslF345X05/wk-form4_1696977071.xml,FORM 4,AAPL,0000320193
0000320193-23-000096,2023-10-10,4,,,,8889,0,0,xslF345X05/wk-form4_1696977012.xml,FORM 4,AAPL,0000320193
0000320193-23-000093,2023-10-03,4,,,,15985,0,0,xslF345X05/wk-form4_1696381746.xml,FORM 4,AAPL,0000320193
0000320193-23-000092,2023-10-03,4,,,,19514,0,0,xslF345X05/wk-form4_1696381688.xml,FORM 4,AAPL,0000320193
0000320193-23-000091,2023-10-03,4,,,,15642,0,0,xslF345X05/wk-form4_1696381604.xml,FORM 4,AAPL,0000320193
0000320193-23-000090,2023-10-03,4,,,,5624,0,0,xslF345X05/wk-form4_1696381514.xml,FORM 4,AAPL,0000320193
0000320193-23-000089,2023-10-03,4,,,,22080,0,0,xslF345X05/wk-form4_1696381457.xml,FORM 4,AAPL,0000320193
0000320193-23-000088,2023-10-03,4,,,,21404,0,0,xslF345X05/wk-form4_1696381345.xml,FORM 4,AAPL,0000320193
0000320193-23-000081,2023-09-19,4,,,,4890,0,0,xslF345X05/wk-form4_1695162617.xml,FORM 4,AAPL,0000320193
0000320193-23-000079,2023-08-08,4,,,,10893,0,0,xslF345X05/wk-form4_1691533817.xml,FORM 4,AAPL,0000320193
0000320193-23-000070,2023-05-18,4,,,,5705,0,0,xslF345X04/wf-form4_168444912415136.xml,FORM 4,AAPL,0000320193
