accessionNumber,filingDate,form,fileNumber,filmNumber,items,size,isXBRL,isInlineXBRL,primaryDocument,primaryDocDescription
0001018724-24-000156,2024-10-03,4,,,,5451,0,0,xslF345X05/wk-form4_1727986784.xml,FORM 4
0001018724-24-000154,2024-09-26,4,,,,4723,0,0,xslF345X05/wk-form4_1727383204.xml,FORM 4
0001018724-24-000152,2024-09-11,4,,,,5624,0,0,xslF345X05/wk-form4_1726096032.xml,FORM 4
0001018724-24-000150,2024-09-05,4,,,,5451,0,0,xslF345X05/wk-form4_1725567606.xml,FORM 4
0001018724-24-000148,2024-08-30,4,,,,6028,0,0,xslF345X05/wk-form4_1725049574.xml,FORM 4
0001018724-24-000146,2024-08-23,4,,,,19812,0,0,xslF345X05/wk-form4_1724447905.xml,FORM 4
0001018724-24-000144,2024-08-23,4,,,,17444,0,0,xslF345X05/wk-form4_1724447373.xml,FORM 4
0001018724-24-000142,2024-08-23,4,,,,11560,0,0,xslF345X05/wk-form4_1724446937.xml,FORM 4
0001018724-24-000140,2024-08-23,4,,,,13717,0,0,xslF345X05/wk-form4_1724446549.xml,FORM 4
0001018724-24-000138,2024-08-23,4,,,,16844,0,0,xslF345X05/wk-form4_1724446140.xml,FORM 4
0001018724-24-000136,2024-08-23,4,,,,26936,0,0,xslF345X05/wk-form4_1724445739.xml,FORM 4
0001018724-24-000134,2024-08-19,4,,,,13607,0,0,xslF345X05/wk-form4_1724100148.xml,FORM 4
0001018724-24-000132,2024-08-05,4,,,,5451,0,0,xslF345X05/wk-form4_1722889834.xml,FORM 4
0001018724-24-000126,2024-07-15,4,,,,5178,0,0,xslF345X05/wk-form4_1721074475.xml,FORM 4
0001018724-24-000124,2024-07-11,4,,,,6855,0,0,xslF345X05/wk-form4_1720728538.xml,FORM 4
0001018724-24-000122,2024-07-09,4,,,,8531,0,0,xslF345X05/wk-form4_1720556550.xml,FORM 4
0001018724-24-000120,2024-07-05,4,,,,6855,0,0,xslF345X05/wk-form4_1720210532.xml,FORM 4
0001018724-24-000118,2024-07-03,4,,,,12391,0,0,xslF345X05/wk-form4_1720039482.xml,FORM 4
0001018724-24-000116,2024-07-01,4,,,,4723,0,0,xslF345X05/wk-form4_1719866311.xml,FORM 4
0001018724-24-000114,2024-06-05,4,,,,7623,0,0,xslF345X05/wk-form4_1717621775.xml,FORM 4
0001018724-24-000109,2024-05-31,4,,,,6028,0,0,xslF345X05/wk-form4_1717188310.xml,FORM 4
0001018724-24-000107,2024-05-23,4,,,,16468,0,0,xslF345X05/wk-form4_1716501709.xml,FORM 4
