accessionNumber,filingDate,form,fileNumber,filmNumber,items,size,isXBRL,isInlineXBRL,primaryDocument,primaryDocDescription
0000950170-24-115045,2024-10-16,4,,,,8388,0,0,xslF345X05/ownership.xml,4
0000950170-24-114821,2024-10-15,4,,,,24620,0,0,xslF345X05/ownership.xml,4
0000950170-24-114771,2024-10-15,4,,,,7175,0,0,xslF345X05/ownership.xml,4
0000950170-24-114761,2024-10-15,4,,,,14737,0,0,xslF345X05/ownership.xml,4
0000950170-24-111591,2024-10-02,4,,,,10009,0,0,xslF345X05/ownership.xml,4
0000950170-24-111510,2024-10-02,4,,,,7174,0,0,xslF345X05/ownership.xml,4
0000950170-24-110479,2024-09-30,4,,,,10537,0,0,xslF345X05/ownership.xml,4
0000950170-24-110107,2024-09-27,4,,,,16342,0,0,xslF345X05/ownership.xml,4
0000950170-24-110028,2024-09-27,4,,,,15201,0,0,xslF345X05/ownership.xml,4
0000950170-24-109952,2024-09-27,4,,,,9586,0,0,xslF345X05/ownership.xml,4
0000950170-24-109916,2024-09-27,4,,,,9589,0,0,xslF345X05/ownership.xml,4
0000950170-24-109740,2024-09-26,4,,,,15192,0,0,xslF345X05/ownership.xml,4
0000950170-24-109735,2024-09-26,4,,,,14440,0,0,xslF345X05/ownership.xml,4
0000950170-24-109725,2024-09-26,4,,,,8630,0,0,xslF345X05/ownership.xml,4
0000950170-24-109142,2024-09-24,4,,,,9485,0,0,xslF345X05/ownership.xml,4
0000950170-24-107936,2024-09-18,4,,,,8386,0,0,xslF345X05/ownership.xml,4
0000950170-24-107927,2024-09-18,4,,,,9709,0,0,xslF345X05/ownership.xml,4
0000950170-24-107901,2024-09-18,4,,,,10587,0,0,xslF345X05/ownership.xml,4
0000950170-24-107867,2024-09-18,4,,,,12306,0,0,xslF345X05/ownership.xml,4
0000950170-24-107836,2024-09-18,4,,,,13074,0,0,xslF345X05/ownership.xml,4
0000950170-24-107702,2024-09-18,4,,,,12428,0,0,xslF345X05/ownership.xml,4
0000950170-24-107680,2024-09-18,4,,,,9073,0,0,xslF345X05/ownership.xml,4
0000950170-24-107673,2024-09-18,4,,,,11276,0,0,xslF345X05/ownership.xml,4
0000950170-24-107669,2024-09-18,4,,,,21613,0,0,xslF345X05/ownership.xml,4
0000950170-24-107653,2024-09-18,4,,,,11279,0,0,xslF345X05/ownership.xml,4
0000950170-24-107649,2024-09-18,4,,,,15316,0,0,xslF345X05/ownership.xml,4
0000950170-24-107646,2024-09-18,4,,,,13671,0,0,xslF345X05/ownership.xml,4
0000950170-24-107567,2024-09-17,4,,,,10515,0,0,xslF345X05/ownership.xml,4
0000950170-24-107535,2024-09-17,4,,,,6945,0,0,xslF345X05/ownership.xml,4
0000950170-24-107513,2024-09-17,4,,,,12293,0,0,xslF345X05/ownership.xml,4
0000950170-24-106720,2024-09-16,4,,,,11759,0,0,xslF345X05/ownership.xml,4
0000950170-24-105252,2024-09-10,4,,,,7174,0,0,xslF345X05/ownership.xml,4
0000950170-24-104325,2024-09-06,4,,,,8829,0,0,xslF345X05/ownership.xml,4
0000950170-24-104145,2024-09-05,4,,,,17489,0,0,xslF345X05/ownership.xml,4
0000950170-24-103909,2024-09-05,4,,,,10012,0,0,xslF345X05/ownership.xml,4
0000950170-24-102976,2024-09-03,4,,,,7173,0,0,xslF345X05/ownership.xml,4
0000950170-24-101168,2024-08-27,4,,,,9586,0,0,xslF345X05/ownership.xml,4
0000950170-24-099613,2024-08-21,4,,,,8386,0,0,xslF345X05/ownership.xml,4
