accessionNumber,filingDate,form,fileNumber,filmNumber,items,size,isXBRL,isInlineXBRL,primaryDocument,primaryDocDescription
0001771340-24-000004,2024-09-25,4,,,,9079,0,0,xslF345X05/edgardoc.xml,PRIMARY DOCUMENT
0001972928-24-000003,2024-09-09,4,,,,8729,0,0,xslF345X05/edgardoc.xml,PRIMARY DOCUMENT
0000950170-24-087441,2024-07-29,4,,,,31410,0,0,xslF345X05/ownership.xml,4
0001972928-24-000002,2024-06-07,4,,,,8737,0,0,xslF345X05/edgardoc.xml,PRIMARY DOCUMENT
0001771340-24-000003,2024-06-05,4,,,,7267,0,0,xslF345X05/edgardoc.xml,PRIMARY DOCUMENT
0000950170-24-054842,2024-05-07,4,,,,21936,0,0,xslF345X05/ownership.xml,4
0001790565-24-000003,2024-04-03,4,,,,8684,0,0,xslF345X05/edgardoc.xml,PRIMARY DOCUMENT
0001771340-24-000002,2024-03-14,4,,,,22314,0,0,xslF345X05/edgardoc.xml,PRIMARY DOCUMENT
0001972928-24-000001,2024-03-07,4,,,,8963,0,0,xslF345X05/edgardoc.xml,PRIMARY DOCUMENT
0001790565-24-000002,2024-03-04,4,,,,8685,0,0,xslF345X05/edgardoc.xml,PRIMARY DOCUMENT
0001771340-24-000001,2024-02-23,4,,,,18848,0,0,xslF345X05/edgardoc.xml,PRIMARY DOCUMENT
0001790565-24-000001,2024-02-02,4,,,,4616,0,0,xslF345X05/edgardoc.xml,PRIMARY DOCUMENT
0001771340-23-000012,2023-12-18,4,,,,8860,0,0,xslF345X05/edgardoc.xml,PRIMARY DOCUMENT
0001972928-23-000009,2023-12-07,4,,,,8660,0,0,xslF345X05/edgardoc.xml,PRIMARY DOCUMENT
0001790565-23-000014,2023-12-07,4,,,,8676,0,0,xslF345X05/edgardoc.xml,PRIMARY DOCUMENT
0001771340-23-000011,2023-12-07,4,,,,8663,0,0,xslF345X05/edgardoc.xml,PRIMARY DOCUMENT
0001771340-23-000010,2023-12-01,4,,,,8776,0,0,xslF345X05/edgardoc.xml,PRIMARY DOCUMENT
0001790565-23-000013,2023-10-31,4,,,,8607,0,0,xslF345X05/edgardoc.xml,PRIMARY DOCUMENT
0001771340-23-000009,2023-10-11,4,,,,8777,0,0,xslF345X05/edgardoc.xml,PRIMARY DOCUMENT
0001790565-23-000012,2023-09-29,4,,,,8607,0,0,xslF345X05/edgardoc.xml,PRIMARY DOCUMENT
