accessionNumber,filingDate,form,fileNumber,filmNumber,items,size,isXBRL,isInlineXBRL,primaryDocument,primaryDocDescription
0001474506-25-000056,2025-03-12,4,,,,6980,0,0,xslF345X05/primary_doc.xml,PRIMARY DOCUMENT
0001474506-25-000055,2025-03-12,4,,,,9530,0,0,xslF345X05/primary_doc.xml,PRIMARY DOCUMENT
0001474506-25-000046,2025-02-21,4,,,,5671,0,0,xslF345X05/primary_doc.xml,PRIMARY DOCUMENT
0001474506-25-000045,2025-02-21,4,,,,5653,0,0,xslF345X05/primary_doc.xml,PRIMARY DOCUMENT
0001474506-25-000044,2025-02-21,4,,,,5678,0,0,xslF345X05/primary_doc.xml,PRIMARY DOCUMENT
0001474506-25-000043,2025-02-21,4,,,,5673,0,0,xslF345X05/primary_doc.xml,PRIMARY DOCUMENT
0001474506-25-000024,2025-01-30,4,,,,7582,0,0,xslF345X05/primary_doc.xml,PRIMARY DOCUMENT
0001474506-25-000023,2025-01-30,4,,,,7043,0,0,xslF345X05/primary_doc.xml,PRIMARY DOCUMENT
0001474506-25-000022,2025-01-30,4,,,,6034,0,0,xslF345X05/primary_doc.xml,PRIMARY DOCUMENT
0001474506-25-000021,2025-01-30,4,,,,6042,0,0,xslF345X05/primary_doc.xml,PRIMARY DOCUMENT
0001474506-25-000020,2025-01-30,4,,,,6072,0,0,xslF345X05/primary_doc.xml,PRIMARY DOCUMENT
0001474506-25-000019,2025-01-30,4,,,,6034,0,0,xslF345X05/primary_doc.xml,PRIMARY DOCUMENT
0001474506-24-000291,2024-12-19,4,,,,6782,0,0,xslF345X05/primary_doc.xml,PRIMARY DOCUMENT
0001474506-24-000290,2024-12-19,4,,,,5704,0,0,xslF345X05/primary_doc.xml,PRIMARY DOCUMENT
0001474506-24-000240,2024-11-12,4,,,,5228,0,0,xslF345X05/primary_doc.xml,PRIMARY DOCUMENT
0001474506-24-000239,2024-11-12,4,,,,6763,0,0,xslF345X05/primary_doc.xml,PRIMARY DOCUMENT
0001474506-24-000238,2024-11-12,4,,,,5743,0,0,xslF345X05/primary_doc.xml,PRIMARY DOCUMENT
0001474506-24-000236,2024-11-05,4,,,,6019,0,0,xslF345X05/primary_doc.xml,PRIMARY DOCUMENT
0001474506-24-000235,2024-11-05,4,,,,6026,0,0,xslF345X05/primary_doc.xml,PRIMARY DOCUMENT
0001474506-24-000234,2024-11-05,4,,,,6000,0,0,xslF345X05/primary_doc.xml,PRIMARY DOCUMENT
0001474506-24-000233,2024-11-05,4,,,,6022,0,0,xslF345X05/primary_doc.xml,PRIMARY DOCUMENT
0001474506-24-000216,2024-09-25,4,,,,9496,0,0,xslF345X05/primary_doc.xml,PRIMARY DOCUMENT
