accessionNumber,filingDate,form,fileNumber,filmNumber,items,size,isXBRL,isInlineXBRL,primaryDocument,primaryDocDescription
0000950170-25-005957,2025-01-15,4,,,,7178,0,0,xslF345X05/ownership.xml,4
0000950170-25-004989,2025-01-13,4,,,,13383,0,0,xslF345X05/ownership.xml,4
0000950170-25-004355,2025-01-10,4,,,,9050,0,0,xslF345X05/ownership.xml,4
0000950170-25-004312,2025-01-10,4,,,,9777,0,0,xslF345X05/ownership.xml,4
0000950170-25-004285,2025-01-10,4,,,,11821,0,0,xslF345X05/ownership.xml,4
0000950170-25-000947,2025-01-03,4,,,,7172,0,0,xslF345X05/ownership.xml,4
0000950170-25-000324,2025-01-02,4,,,,15600,0,0,xslF345X05/ownership.xml,4
0000950170-25-000278,2025-01-02,4,,,,8279,0,0,xslF345X05/ownership.xml,4
0000950170-24-140885,2024-12-27,4,,,,9584,0,0,xslF345X05/ownership.xml,4
0000950170-24-140879,2024-12-27,4,,,,9618,0,0,xslF345X05/ownership.xml,4
0000950170-24-140876,2024-12-27,4,,,,17315,0,0,xslF345X05/ownership.xml,4
0000950170-24-140868,2024-12-27,4,,,,15185,0,0,xslF345X05/ownership.xml,4
0000950170-24-140860,2024-12-27,4,,,,14434,0,0,xslF345X05/ownership.xml,4
0000950170-24-140850,2024-12-27,4,,,,8610,0,0,xslF345X05/ownership.xml,4
0000950170-24-138126,2024-12-18,4,,,,29445,0,0,xslF345X05/ownership.xml,4
0000950170-24-138084,2024-12-18,4,,,,11501,0,0,xslF345X05/ownership.xml,4
0000950170-24-138071,2024-12-18,4,,,,13587,0,0,xslF345X05/ownership.xml,4
0000950170-24-138047,2024-12-18,4,,,,6913,0,0,xslF345X05/ownership.xml,4
0000950170-24-138032,2024-12-18,4,,,,12278,0,0,xslF345X05/ownership.xml,4
0000950170-24-137741,2024-12-18,4,,,,14483,0,0,xslF345X05/ownership.xml,4
0000950170-24-137696,2024-12-18,4,,,,13404,0,0,xslF345X05/ownership.xml,4
0000950170-24-137690,2024-12-18,4,,,,11274,0,0,xslF345X05/ownership.xml,4
0000950170-24-137572,2024-12-17,4,,,,10518,0,0,xslF345X05/ownership.xml,4
0000950170-24-137560,2024-12-17,4,,,,15540,0,0,xslF345X05/ownership.xml,4
0000950170-24-137554,2024-12-17,4,,,,11459,0,0,xslF345X05/ownership.xml,4
0000950170-24-137549,2024-12-17,4,,,,10278,0,0,xslF345X05/ownership.xml,4
0000950170-24-137542,2024-12-17,4,,,,10584,0,0,xslF345X05/ownership.xml,4
0000950170-24-136302,2024-12-13,4,,,,15245,0,0,xslF345X05/ownership.xml,4
0000950170-24-135152,2024-12-10,4,,,,19855,0,0,xslF345X05/ownership.xml,4
0000950170-24-133433,2024-12-04,4,,,,7537,0,0,xslF345X05/ownership.xml,4
0000950170-24-132408,2024-12-02,4,,,,10956,0,0,xslF345X05/ownership.xml,4
0000950170-24-132343,2024-12-02,4,,,,7173,0,0,xslF345X05/ownership.xml,4
0000950170-24-132320,2024-12-02,4,,,,8054,0,0,xslF345X05/ownership.xml,4
0000950170-24-131196,2024-11-26,4,,,,9584,0,0,xslF345X05/ownership.xml,4
0000950170-24-131189,2024-11-26,4,,,,13632,0,0,xslF345X05/ownership.xml,4
0000950170-24-129767,2024-11-21,4,,,,11609,0,0,xslF345X05/ownership.xml,4
0000950170-24-127970,2024-11-18,4,,,,7174,0,0,xslF345X05/ownership.xml,4
0000950170-24-125682,2024-11-12,4,,,,15204,0,0,xslF345X05/ownership.xml,4
0000950170-24-123574,2024-11-07,4,,,,19068,0,0,xslF345X05/ownership.xml,4
0000950170-24-122606,2024-11-06,4,,,,11603,0,0,xslF345X05/ownership.xml,4
0000950170-24-121043,2024-11-04,4,,,,7174,0,0,xslF345X05/ownership.xml,4
0000950170-24-121038,2024-11-04,4,,,,8027,0,0,xslF345X05/ownership.xml,4
0000950170-24-119905,2024-11-01,4,,,,19583,0,0,xslF345X05/ownership.xml,4
