accessionNumber,filingDate,form,fileNumber,filmNumber,items,size,isXBRL,isInlineXBRL,primaryDocument,primaryDocDescription
0000059478-24-000291,2024-12-17,4,,,,5147,0,0,xslF345X05/wk-form4_1734470584.xml,FORM 4
0000059478-24-000289,2024-12-17,4,,,,4936,0,0,xslF345X05/wk-form4_1734470498.xml,FORM 4
0000059478-24-000287,2024-12-17,4,,,,4970,0,0,xslF345X05/wk-form4_1734470366.xml,FORM 4
0000059478-24-000285,2024-12-17,4,,,,6061,0,0,xslF345X05/wk-form4_1734470270.xml,FORM 4
0000059478-24-000283,2024-12-17,4,,,,4966,0,0,xslF345X05/wk-form4_1734470180.xml,FORM 4
0000059478-24-000278,2024-11-20,4,,,,4548,0,0,xslF345X05/wk-form4_1732138184.xml,FORM 4
0000059478-24-000276,2024-11-20,4,,,,6508,0,0,xslF345X05/wk-form4_1732138122.xml,FORM 4
0000059478-24-000274,2024-11-20,4,,,,6297,0,0,xslF345X05/wk-form4_1732138066.xml,FORM 4
0000059478-24-000272,2024-11-20,4,,,,4577,0,0,xslF345X05/wk-form4_1732138010.xml,FORM 4
0000059478-24-000270,2024-11-20,4,,,,6330,0,0,xslF345X05/wk-form4_1732137954.xml,FORM 4
0000059478-24-000268,2024-11-20,4,,,,4557,0,0,xslF345X05/wk-form4_1732137888.xml,FORM 4
0000059478-24-000266,2024-11-20,4,,,,7422,0,0,xslF345X05/wk-form4_1732137825.xml,FORM 4
0000059478-24-000264,2024-11-20,4,,,,4706,0,0,xslF345X05/wk-form4_1732137757.xml,FORM 4
0000059478-24-000262,2024-11-20,4,,,,4569,0,0,xslF345X05/wk-form4_1732137654.xml,FORM 4
0000059478-24-000260,2024-11-20,4,,,,6327,0,0,xslF345X05/wk-form4_1732137575.xml,FORM 4
0000059478-24-000255,2024-11-08,4,,,,5517,0,0,xslF345X05/wk-form4_1731100686.xml,FORM 4
0000059478-24-000253,2024-11-05,4,,,,8144,0,0,xslF345X05/wk-form4_1730841326.xml,FORM 4
0000059478-24-000251,2024-11-05,4,,,,8853,0,0,xslF345X05/wk-form4_1730841247.xml,FORM 4
0000059478-24-000249,2024-11-05,4,,,,8824,0,0,xslF345X05/wk-form4_1730841188.xml,FORM 4
0000059478-24-000247,2024-11-01,4,,,,6642,0,0,xslF345X05/wk-form4_1730492255.xml,FORM 4
0000059478-24-000238,2024-10-22,4,,,,5143,0,0,xslF345X05/wk-form4_1729628600.xml,FORM 4
0000059478-24-000236,2024-10-22,4,,,,4931,0,0,xslF345X05/wk-form4_1729628526.xml,FORM 4
0000059478-24-000234,2024-10-22,4,,,,4965,0,0,xslF345X05/wk-form4_1729628404.xml,FORM 4
0000059478-24-000232,2024-10-22,4,,,,6057,0,0,xslF345X05/wk-form4_1729628298.xml,FORM 4
0000059478-24-000230,2024-10-22,4,,,,4961,0,0,xslF345X05/wk-form4_1729628166.xml,FORM 4
0000059478-24-000225,2024-09-17,4,,,,5143,0,0,xslF345X05/wk-form4_1726607955.xml,FORM 4
0000059478-24-000223,2024-09-17,4,,,,4931,0,0,xslF345X05/wk-form4_1726607834.xml,FORM 4
0000059478-24-000221,2024-09-17,4,,,,4965,0,0,xslF345X05/wk-form4_1726607719.xml,FORM 4
0000059478-24-000219,2024-09-17,4,,,,6057,0,0,xslF345X05/wk-form4_1726607497.xml,FORM 4
0000059478-24-000217,2024-09-17,4,,,,4961,0,0,xslF345X05/wk-form4_1726607318.xml,FORM 4
0000059478-24-000215,2024-09-12,4,,,,8147,0,0,xslF345X05/wk-form4_1726172178.xml,FORM 4
0001415889-24-022759,2024-09-04,4,,,,10644,0,0,xslF345X05/form4-09042024_040904.xml,
0001415889-24-022413,2024-08-28,4,,,,15569,0,0,xslF345X05/form4-08282024_040801.xml,
0000059478-24-000210,2024-08-26,4,,,,5511,0,0,xslF345X05/wk-form4_1724703707.xml,FORM 4
0001415889-24-022123,2024-08-23,4,,,,7204,0,0,xslF345X05/form4-08232024_040804.xml,
0000059478-24-000208,2024-08-21,4,,,,7286,0,0,xslF345X05/wk-form4_1724271305.xml,FORM 4
0000059478-24-000206,2024-08-20,4,,,,5143,0,0,xslF345X05/wk-form4_1724185087.xml,FORM 4
0000059478-24-000204,2024-08-20,4,,,,4931,0,0,xslF345X05/wk-form4_1724185018.xml,FORM 4
0000059478-24-000202,2024-08-20,4,,,,4965,0,0,xslF345X05/wk-form4_1724184929.xml,FORM 4
0000059478-24-000200,2024-08-20,4,,,,6057,0,0,xslF345X05/wk-form4_1724184842.xml,FORM 4
0000059478-24-000198,2024-08-20,4,,,,4961,0,0,xslF345X05/wk-form4_1724184769.xml,FORM 4
0000059478-24-000189,2024-08-13,4,,,,6176,0,0,xslF345X05/wk-form4_1723580342.xml,FORM 4
0000059478-24-000180,2024-08-02,4,,,,5575,0,0,xslF345X05/wk-form4_1722628999.xml,FORM 4
