accessionNumber,filingDate,form,fileNumber,filmNumber,items,size,isXBRL,isInlineXBRL,primaryDocument,primaryDocDescription
0001062993-24-020678,2024-12-16,4,,,,4391,0,0,xslF345X05/form4.xml,STATEMENT OF CHANGES IN BENEFICIAL OWNERSHIP OF SECURITIES
0001062993-24-020624,2024-12-13,4,,,,6275,0,0,xslF345X05/form4.xml,STATEMENT OF CHANGES IN BENEFICIAL OWNERSHIP OF SECURITIES
0001062993-24-020623,2024-12-13,4,,,,6220,0,0,xslF345X05/form4.xml,STATEMENT OF CHANGES IN BENEFICIAL OWNERSHIP OF SECURITIES
0001062993-24-020622,2024-12-13,4,,,,6403,0,0,xslF345X05/form4.xml,STATEMENT OF CHANGES IN BENEFICIAL OWNERSHIP OF SECURITIES
0001062993-24-020621,2024-12-13,4,,,,6236,0,0,xslF345X05/form4.xml,STATEMENT OF CHANGES IN BENEFICIAL OWNERSHIP OF SECURITIES
0001062993-24-020620,2024-12-13,4,,,,6283,0,0,xslF345X05/form4.xml,STATEMENT OF CHANGES IN BENEFICIAL OWNERSHIP OF SECURITIES
0001062993-24-020619,2024-12-13,4,,,,7091,0,0,xslF345X05/form4.xml,STATEMENT OF CHANGES IN BENEFICIAL OWNERSHIP OF SECURITIES
0001062993-24-020618,2024-12-13,4,,,,7294,0,0,xslF345X05/form4.xml,STATEMENT OF CHANGES IN BENEFICIAL OWNERSHIP OF SECURITIES
0001062993-24-020617,2024-12-13,4,,,,6397,0,0,xslF345X05/form4.xml,STATEMENT OF CHANGES IN BENEFICIAL OWNERSHIP OF SECURITIES
0001062993-24-020399,2024-12-10,4,,,,4398,0,0,xslF345X05/form4.xml,STATEMENT OF CHANGES IN BENEFICIAL OWNERSHIP OF SECURITIES
0001062993-24-020397,2024-12-10,4,,,,7487,0,0,xslF345X05/form4.xml,STATEMENT OF CHANGES IN BENEFICIAL OWNERSHIP OF SECURITIES
0001062993-24-020396,2024-12-10,4,,,,6651,0,0,xslF345X05/form4.xml,STATEMENT OF CHANGES IN BENEFICIAL OWNERSHIP OF SECURITIES
0001062993-24-020395,2024-12-10,4,,,,6648,0,0,xslF345X05/form4.xml,STATEMENT OF CHANGES IN BENEFICIAL OWNERSHIP OF SECURITIES
0001062993-24-020394,2024-12-10,4,,,,7435,0,0,xslF345X05/form4.xml,STATEMENT OF CHANGES IN BENEFICIAL OWNERSHIP OF SECURITIES
0001062993-24-020393,2024-12-10,4,,,,7614,0,0,xslF345X05/form4.xml,STATEMENT OF CHANGES IN BENEFICIAL OWNERSHIP OF SECURITIES
0001062993-24-020392,2024-12-10,4,,,,7449,0,0,xslF345X05/form4.xml,STATEMENT OF CHANGES IN BENEFICIAL OWNERSHIP OF SECURITIES
0001062993-24-020391,2024-12-10,4,,,,5899,0,0,xslF345X05/form4.xml,STATEMENT OF CHANGES IN BENEFICIAL OWNERSHIP OF SECURITIES
0001062993-24-020390,2024-12-10,4,,,,7500,0,0,xslF345X05/form4.xml,STATEMENT OF CHANGES IN BENEFICIAL OWNERSHIP OF SECURITIES
0001062993-24-020389,2024-12-10,4,,,,8479,0,0,xslF345X05/form4.xml,STATEMENT OF CHANGES IN BENEFICIAL OWNERSHIP OF SECURITIES
0001062993-24-020388,2024-12-10,4,,,,8503,0,0,xslF345X05/form4.xml,STATEMENT OF CHANGES IN BENEFICIAL OWNERSHIP OF SECURITIES
0001062993-24-020387,2024-12-10,4,,,,7603,0,0,xslF345X05/form4.xml,STATEMENT OF CHANGES IN BENEFICIAL OWNERSHIP OF SECURITIES
0001062993-24-020138,2024-12-05,4,,,,4903,0,0,xslF345X05/form4.xml,STATEMENT OF CHANGES IN BENEFICIAL OWNERSHIP OF SECURITIES
0001062993-24-019891,2024-12-02,4,,,,7643,0,0,xslF345X05/form4.xml,STATEMENT OF CHANGES IN BENEFICIAL OWNERSHIP OF SECURITIES
0001062993-24-019890,2024-12-02,4,,,,4391,0,0,xslF345X05/form4.xml,STATEMENT OF CHANGES IN BENEFICIAL OWNERSHIP OF SECURITIES
0001062993-24-019650,2024-11-25,4,,,,4397,0,0,xslF345X05/form4.xml,STATEMENT OF CHANGES IN BENEFICIAL OWNERSHIP OF SECURITIES
0001062993-24-019649,2024-11-25,4,,,,4385,0,0,xslF345X05/form4.xml,STATEMENT OF CHANGES IN BENEFICIAL OWNERSHIP OF SECURITIES
0001062993-24-019177,2024-11-14,4,,,,5847,0,0,xslF345X05/form4.xml,STATEMENT OF CHANGES IN BENEFICIAL OWNERSHIP OF SECURITIES
0001062993-24-018937,2024-11-12,4,,,,7176,0,0,xslF345X05/form4.xml,STATEMENT OF CHANGES IN BENEFICIAL OWNERSHIP OF SECURITIES
0001062993-24-016766,2024-09-18,4,,,,6193,0,0,xslF345X05/form4.xml,STATEMENT OF CHANGES IN BENEFICIAL OWNERSHIP OF SECURITIES
0001062993-24-016765,2024-09-18,4,,,,6226,0,0,xslF345X05/form4.xml,STATEMENT OF CHANGES IN BENEFICIAL OWNERSHIP OF SECURITIES
0001062993-24-016764,2024-09-18,4,,,,6195,0,0,xslF345X05/form4.xml,STATEMENT OF CHANGES IN BENEFICIAL OWNERSHIP OF SECURITIES
0001062993-24-016763,2024-09-18,4,,,,6173,0,0,xslF345X05/form4.xml,STATEMENT OF CHANGES IN BENEFICIAL OWNERSHIP OF SECURITIES
0001062993-24-016762,2024-09-18,4,,,,6194,0,0,xslF345X05/form4.xml,STATEMENT OF CHANGES IN BENEFICIAL OWNERSHIP OF SECURITIES
0001062993-24-016761,2024-09-18,4,,,,6182,0,0,xslF345X05/form4.xml,STATEMENT OF CHANGES IN BENEFICIAL OWNERSHIP OF SECURITIES
0001062993-24-016594,2024-09-13,4,,,,6283,0,0,xslF345X05/form4.xml,STATEMENT OF CHANGES IN BENEFICIAL OWNERSHIP OF SECURITIES
0001062993-24-016593,2024-09-13,4,,,,6226,0,0,xslF345X05/form4.xml,STATEMENT OF CHANGES IN BENEFICIAL OWNERSHIP OF SECURITIES
0001062993-24-016592,2024-09-13,4,,,,6409,0,0,xslF345X05/form4.xml,STATEMENT OF CHANGES IN BENEFICIAL OWNERSHIP OF SECURITIES
0001062993-24-016591,2024-09-13,4,,,,6242,0,0,xslF345X05/form4.xml,STATEMENT OF CHANGES IN BENEFICIAL OWNERSHIP OF SECURITIES
0001062993-24-016590,2024-09-13,4,,,,6289,0,0,xslF345X05/form4.xml,STATEMENT OF CHANGES IN BENEFICIAL OWNERSHIP OF SECURITIES
0001062993-24-016589,2024-09-13,4,,,,7097,0,0,xslF345X05/form4.xml,STATEMENT OF CHANGES IN BENEFICIAL OWNERSHIP OF SECURITIES
0001062993-24-016588,2024-09-13,4,,,,7300,0,0,xslF345X05/form4.xml,STATEMENT OF CHANGES IN BENEFICIAL OWNERSHIP OF SECURITIES
0001062993-24-016587,2024-09-13,4,,,,6401,0,0,xslF345X05/form4.xml,STATEMENT OF CHANGES IN BENEFICIAL OWNERSHIP OF SECURITIES
0001062993-24-016495,2024-09-11,4,,,,4906,0,0,xslF345X05/form4.xml,STATEMENT OF CHANGES IN BENEFICIAL OWNERSHIP OF SECURITIES
0001062993-24-016494,2024-09-11,4,,,,4915,0,0,xslF345X05/form4.xml,STATEMENT OF CHANGES IN BENEFICIAL OWNERSHIP OF SECURITIES
0001062993-24-016493,2024-09-11,4,,,,7625,0,0,xslF345X05/form4.xml,STATEMENT OF CHANGES IN BENEFICIAL OWNERSHIP OF SECURITIES
0001062993-24-016347,2024-09-09,4,,,,6016,0,0,xslF345X05/form4.xml,STATEMENT OF CHANGES IN BENEFICIAL OWNERSHIP OF SECURITIES
0001062993-24-016345,2024-09-09,4,,,,5182,0,0,xslF345X05/form4.xml,STATEMENT OF CHANGES IN BENEFICIAL OWNERSHIP OF SECURITIES
0001062993-24-016344,2024-09-09,4,,,,5175,0,0,xslF345X05/form4.xml,STATEMENT OF CHANGES IN BENEFICIAL OWNERSHIP OF SECURITIES
0001062993-24-016343,2024-09-09,4,,,,5960,0,0,xslF345X05/form4.xml,STATEMENT OF CHANGES IN BENEFICIAL OWNERSHIP OF SECURITIES
0001062993-24-016342,2024-09-09,4,,,,6141,0,0,xslF345X05/form4.xml,STATEMENT OF CHANGES IN BENEFICIAL OWNERSHIP OF SECURITIES
0001062993-24-016341,2024-09-09,4,,,,5974,0,0,xslF345X05/form4.xml,STATEMENT OF CHANGES IN BENEFICIAL OWNERSHIP OF SECURITIES
0001062993-24-016340,2024-09-09,4,,,,4440,0,0,xslF345X05/form4.xml,STATEMENT OF CHANGES IN BENEFICIAL OWNERSHIP OF SECURITIES
