accessionNumber,filingDate,form,fileNumber,filmNumber,items,size,isXBRL,isInlineXBRL,primaryDocument,primaryDocDescription
0001045810-25-000002,2025-01-08,4,,,,16892,0,0,xslF345X05/wk-form4_1736377440.xml,FORM 4
0001045810-24-000337,2024-12-20,4,,,,6990,0,0,xslF345X05/wk-form4_1734736726.xml,FORM 4
0001225208-24-010914,2024-12-18,4,,,,12533,0,0,xslF345X05/doc4.xml,
0001045810-24-000335,2024-12-13,4,,,,21502,0,0,xslF345X05/wk-form4_1734137561.xml,FORM 4
0001045810-24-000333,2024-12-13,4,,,,8724,0,0,xslF345X05/wk-form4_1734137463.xml,FORM 4
0001045810-24-000332,2024-12-13,4,,,,10252,0,0,xslF345X05/wk-form4_1734137423.xml,FORM 4
0001045810-24-000331,2024-12-13,4,,,,6151,0,0,xslF345X05/wk-form4_1734137388.xml,FORM 4
0001045810-24-000330,2024-12-13,4,,,,16049,0,0,xslF345X05/wk-form4_1734137284.xml,FORM 4
0001045810-24-000327,2024-12-13,4,,,,7059,0,0,xslF345X05/wk-form4_1734137152.xml,FORM 4
0001045810-24-000320,2024-12-09,4,,,,7031,0,0,xslF345X05/wk-form4_1733797623.xml,FORM 4
0001045810-24-000318,2024-11-27,4,,,,4872,0,0,xslF345X05/wk-form4_1732744744.xml,FORM 4
0001045810-24-000298,2024-10-11,4,,,,6816,0,0,xslF345X05/wk-form4_1728682961.xml,FORM 4
0001045810-24-000296,2024-10-07,4,,,,6816,0,0,xslF345X05/wk-form4_1728336437.xml,FORM 4
0001045810-24-000294,2024-10-01,4,,,,6815,0,0,xslF345X05/wk-form4_1727813951.xml,FORM 4
0001045810-24-000292,2024-09-26,4,,,,6818,0,0,xslF345X05/wk-form4_1727385738.xml,FORM 4
0001045810-24-000290,2024-09-24,4,,,,10129,0,0,xslF345X05/wk-form4_1727208751.xml,FORM 4
0001225208-24-008806,2024-09-23,4,,,,10919,0,0,xslF345X05/doc4.xml,
0001045810-24-000288,2024-09-20,4,,,,7268,0,0,xslF345X05/wk-form4_1726881285.xml,FORM 4
0001045810-24-000287,2024-09-20,4,,,,10281,0,0,xslF345X05/wk-form4_1726881219.xml,FORM 4
0001045810-24-000286,2024-09-20,4,,,,9135,0,0,xslF345X05/wk-form4_1726881104.xml,FORM 4
0001045810-24-000284,2024-09-20,4,,,,11079,0,0,xslF345X05/wk-form4_1726881063.xml,FORM 4
0001045810-24-000283,2024-09-20,4,,,,13246,0,0,xslF345X05/wk-form4_1726881026.xml,FORM 4
0001045810-24-000281,2024-09-20,4,,,,6402,0,0,xslF345X05/wk-form4_1726880963.xml,FORM 4
0001045810-24-000274,2024-09-16,4,,,,24634,0,0,xslF345X05/wk-form4_1726518135.xml,FORM 4
0001045810-24-000272,2024-09-12,4,,,,38467,0,0,xslF345X05/wk-form4_1726185879.xml,FORM 4
0001045810-24-000270,2024-09-10,4,,,,30611,0,0,xslF345X05/wk-form4_1726008722.xml,FORM 4
0001045810-24-000268,2024-09-06,4,,,,29263,0,0,xslF345X05/wk-form4_1725655521.xml,FORM 4
0001045810-24-000266,2024-09-04,4,,,,35467,0,0,xslF345X05/wk-form4_1725482956.xml,FORM 4
0001045810-24-000253,2024-08-12,4,,,,31727,0,0,xslF345X05/wk-form4_1723496757.xml,FORM 4
0001045810-24-000251,2024-08-08,4,,,,42058,0,0,xslF345X05/wk-form4_1723150957.xml,FORM 4
0001045810-24-000249,2024-08-06,4,,,,45904,0,0,xslF345X05/wk-form4_1722975642.xml,FORM 4
0001045810-24-000247,2024-08-02,4,,,,50933,0,0,xslF345X05/wk-form4_1722631547.xml,FORM 4
0001045810-24-000245,2024-07-31,4,,,,37063,0,0,xslF345X05/wk-form4_1722458006.xml,FORM 4
0001045810-24-000243,2024-07-29,4,,,,36410,0,0,xslF345X05/wk-form4_1722290898.xml,FORM 4
0001045810-24-000239,2024-07-25,4,,,,26410,0,0,xslF345X05/wk-form4_1721941742.xml,FORM 4
