company_name,relationship_to_issuer,title_of_security,transaction_date,transaction_code,acquired_or_disposed,transaction_shares,transaction_price,shares_owned_after
DJT,,"Common Stock, par value $0.0001 per share (""Common Stock"")",09/18/2024,J(1),A,"1,073",0,"11,183"
DJT,,Common Stock,,,,,,"143,043(2)"
DJT,Chief Technology Officer,"Common Stock, par value $0.0001 per share",02/20/2025,F,D,"53,814(1)",27.84,"529,763(2)"
DJT,,"Common Stock, par value $0.0001 per share",01/28/2025,A,A,"25,946(1)",0,"25,946(2)"
DJT,,"Common Stock, par value $0.0001 per share",01/28/2025,A,A,"25,946(1)",0,"25,946(2)"
DJT,,"Common Stock, par value $0.0001 per share",01/28/2025,A,A,"25,946(1)",0,"25,946(2)"
DJT,,"Common Stock, par value $0.0001 per share",03/11/2025,S,D,"5,000",19.57,"38,989(1)(2)"
DJT,,"Common Stock, par value $0.0001 per share",03/12/2025,S,D,"10,000",19.86,"28,989(2)"
DJT,"CEO, President, Chairman","Common Stock, par value $0.0001 per share",02/20/2025,F,D,"179,291(1)",27.84,"1,208,188(2)"
DJT,CFO and Treasurer,"Common Stock, par value $0.0001 per share",02/20/2025,F,D,"24,162(1)",27.84,"241,636(2)"
DJT,,"Common Stock, par value $0.0001 per share",01/28/2025,A,A,"25,946(1)",0,"25,946(2)"
DJT,,"Common Stock, par value $0.0001 per share",01/28/2025,A,A,"25,946(1)",0,"25,946(2)"
DJT,,"Common Stock, par value $0.0001 per share",,,,,,"114,750,000(3)(4)"
DJT,"CEO, President, Chairman","Common Stock, par value $0.0001 per share",11/05/2024,A,A,"1,300,325(1)",0,"1,387,479(2)"
DJT,,"Common Stock, par value $0.0001 per share",01/28/2025,A,A,"25,946(1)",0,"25,946(2)"
DJT,,"Common Stock, par value $0.0001 per share",,,,,,"18,043(3)"
DJT,Chief Technology Officer,"Common Stock, par value $0.0001 per share",11/05/2024,A,A,"546,378(1)",0,"583,577(2)"
DJT,,"Common Stock, par value $0.0001 per share",12/17/2024,G,D,"114,750,000(1)",0,0(1)
DJT,,"Common Stock, par value $0.0001 per share",,,,,,"114,750,000(1)(2)"
DJT,,"Common Stock, par value $0.0001 per share",11/08/2024,S,D,"136,183",28.23,0
DJT,,"Common Stock, par value $0.0001 per share",,,,,,"18,043"
DJT,CFO and Treasurer,"Common Stock, par value $0.0001 per share",03/10/2025,S,D,"11,805",20.08,"229,831(5)"
DJT,CFO and Treasurer,"Common Stock, par value $0.0001 per share",03/10/2025,S,D,"8,954",21,"220,877(5)"
DJT,CFO and Treasurer,"Common Stock, par value $0.0001 per share",03/10/2025,S,D,300,21.81,"220,577(5)"
DJT,CFO and Treasurer,"Common Stock, par value $0.0001 per share",11/08/2024,S,D,"320,000",30.65,"329,798(1)"
DJT,CFO and Treasurer,"Common Stock, par value $0.0001 per share",11/11/2024,S,D,"64,000",32.97,"265,798(1)"
DJT,General Counsel and Secretary,"Common Stock, par value $0.0001 per share",11/05/2024,A,A,"336,576(1)",0,"352,493(2)"
DJT,,"Common Stock, par value $0.0001 per share",12/17/2024,G,A,"114,750,000",0,"114,750,000(2)"
DJT,General Counsel and Secretary,"Common Stock, par value $0.0001 per share",02/20/2025,F,D,"39,078(1)",27.84,"297,498(2)"
DJT,General Counsel and Secretary,"Common Stock, par value $0.0001 per share",11/08/2024,S,D,"15,917",32.19,"336,576(1)"
DJT,CFO and Treasurer,"Common Stock, par value $0.0001 per share",11/05/2024,A,A,"244,739(1)",0,"649,798(2)"
