Ticker,CIK,accessionNumber,xml_url
AAPL,0000320193,000032019324000116,https://www.sec.gov/Archives/edgar/data/0000320193/000032019324000116/xslF345X05/wk-form4_1729204211.xml
AAPL,0000320193,000032019324000114,https://www.sec.gov/Archives/edgar/data/0000320193/000032019324000114/xslF345X05/wk-form4_1728426607.xml
AAPL,0000320193,000032019324000112,https://www.sec.gov/Archives/edgar/data/0000320193/000032019324000112/xslF345X05/wk-form4_1727994654.xml
AAPL,0000320193,000032019324000111,https://www.sec.gov/Archives/edgar/data/0000320193/000032019324000111/xslF345X05/wk-form4_1727994644.xml
AAPL,0000320193,000032019324000110,https://www.sec.gov/Archives/edgar/data/0000320193/000032019324000110/xslF345X05/wk-form4_1727994634.xml
AAPL,0000320193,000032019324000109,https://www.sec.gov/Archives/edgar/data/0000320193/000032019324000109/xslF345X05/wk-form4_1727994624.xml
AAPL,0000320193,000032019324000108,https://www.sec.gov/Archives/edgar/data/0000320193/000032019324000108/xslF345X05/wk-form4_1727994612.xml
AAPL,0000320193,000032019324000101,https://www.sec.gov/Archives/edgar/data/0000320193/000032019324000101/xslF345X05/wk-form4_1727822082.xml
AAPL,0000320193,000032019324000100,https://www.sec.gov/Archives/edgar/data/0000320193/000032019324000100/xslF345X05/wk-form4_1727822040.xml
AAPL,0000320193,000032019324000099,https://www.sec.gov/Archives/edgar/data/0000320193/000032019324000099/xslF345X05/wk-form4_1727821995.xml
AAPL,0000320193,000032019324000098,https://www.sec.gov/Archives/edgar/data/0000320193/000032019324000098/xslF345X05/wk-form4_1727821948.xml
AAPL,0000320193,000032019324000097,https://www.sec.gov/Archives/edgar/data/0000320193/000032019324000097/xslF345X05/wk-form4_1727821902.xml
AAPL,0000320193,000032019324000096,https://www.sec.gov/Archives/edgar/data/0000320193/000032019324000096/xslF345X05/wk-form4_1727821838.xml
AAPL,0000320193,000032019324000088,https://www.sec.gov/Archives/edgar/data/0000320193/000032019324000088/xslF345X05/wk-form4_1724106610.xml
AAPL,0000320193,000032019324000086,https://www.sec.gov/Archives/edgar/data/0000320193/000032019324000086/xslF345X05/wk-form4_1723590126.xml
AAPL,0000320193,000032019324000084,https://www.sec.gov/Archives/edgar/data/0000320193/000032019324000084/xslF345X05/wk-form4_1723069808.xml
AAPL,0000320193,000032019324000075,https://www.sec.gov/Archives/edgar/data/0000320193/000032019324000075/xslF345X05/wk-form4_1717453877.xml
AAPL,0000320193,000032019324000073,https://www.sec.gov/Archives/edgar/data/0000320193/000032019324000073/xslF345X05/wk-form4_1715985021.xml
AAPL,0000320193,000032019324000071,https://www.sec.gov/Archives/edgar/data/0000320193/000032019324000071/xslF345X05/wk-form4_1715725806.xml
AAPL,0000320193,000032019324000058,https://www.sec.gov/Archives/edgar/data/0000320193/000032019324000058/xslF345X05/wk-form4_1713393040.xml
AAPL,0000320193,000032019324000056,https://www.sec.gov/Archives/edgar/data/0000320193/000032019324000056/xslF345X05/wk-form4_1713220262.xml
AAPL,0000320193,000032019324000055,https://www.sec.gov/Archives/edgar/data/0000320193/000032019324000055/xslF345X05/wk-form4_1713220215.xml
AAPL,0000320193,000032019324000052,https://www.sec.gov/Archives/edgar/data/0000320193/000032019324000052/xslF345X05/wk-form4_1712183631.xml
AAPL,0000320193,000032019324000051,https://www.sec.gov/Archives/edgar/data/0000320193/000032019324000051/xslF345X05/wk-form4_1712183580.xml
AAPL,0000320193,000032019324000050,https://www.sec.gov/Archives/edgar/data/0000320193/000032019324000050/xslF345X05/wk-form4_1712183535.xml
AAPL,0000320193,000032019324000049,https://www.sec.gov/Archives/edgar/data/0000320193/000032019324000049/xslF345X05/wk-form4_1712183493.xml
AAPL,0000320193,000032019324000048,https://www.sec.gov/Archives/edgar/data/0000320193/000032019324000048/xslF345X05/wk-form4_1712183434.xml
AAPL,0000320193,000032019324000039,https://www.sec.gov/Archives/edgar/data/0000320193/000032019324000039/xslF345X05/wk-form4_1709336196.xml
AAPL,0000320193,000032019324000038,https://www.sec.gov/Archives/edgar/data/0000320193/000032019324000038/xslF345X05/wk-form4_1709336160.xml
AAPL,0000320193,000032019324000037,https://www.sec.gov/Archives/edgar/data/0000320193/000032019324000037/xslF345X05/wk-form4_1709336113.xml
AAPL,0000320193,000032019324000036,https://www.sec.gov/Archives/edgar/data/0000320193/000032019324000036/xslF345X05/wk-form4_1709336072.xml
AAPL,0000320193,000032019324000035,https://www.sec.gov/Archives/edgar/data/0000320193/000032019324000035/xslF345X05/wk-form4_1709336002.xml
AAPL,0000320193,000032019324000034,https://www.sec.gov/Archives/edgar/data/0000320193/000032019324000034/xslF345X05/wk-form4_1709335956.xml
AAPL,0000320193,000032019324000033,https://www.sec.gov/Archives/edgar/data/0000320193/000032019324000033/xslF345X05/wk-form4_1709335906.xml
AAPL,0000320193,000032019324000022,https://www.sec.gov/Archives/edgar/data/0000320193/000032019324000022/xslF345X05/wk-form4_1707176223.xml
AAPL,0000320193,000032019324000021,https://www.sec.gov/Archives/edgar/data/0000320193/000032019324000021/xslF345X05/wk-form4_1707176183.xml
AAPL,0000320193,000032019324000020,https://www.sec.gov/Archives/edgar/data/0000320193/000032019324000020/xslF345X05/wk-form4_1707176141.xml
AAPL,0000320193,000032019324000019,https://www.sec.gov/Archives/edgar/data/0000320193/000032019324000019/xslF345X05/wk-form4_1707176086.xml
AAPL,0000320193,000032019324000018,https://www.sec.gov/Archives/edgar/data/0000320193/000032019324000018/xslF345X05/wk-form4_1707176011.xml
AAPL,0000320193,000032019324000017,https://www.sec.gov/Archives/edgar/data/0000320193/000032019324000017/xslF345X05/wk-form4_1707175959.xml
