accessionNumber,filingDate,form,fileNumber,filmNumber,items,size,isXBRL,isInlineXBRL,primaryDocument,primaryDocDescription
0000320193-24-000116,2024-10-17,4,,,,15760,0,0,xslF345X05/wk-form4_1729204211.xml,FORM 4
0000320193-24-000114,2024-10-08,4,,,,5246,0,0,xslF345X05/wk-form4_1728426607.xml,FORM 4
0000320193-24-000112,2024-10-03,4,,,,15107,0,0,xslF345X05/wk-form4_1727994654.xml,FORM 4
0000320193-24-000111,2024-10-03,4,,,,10988,0,0,xslF345X05/wk-form4_1727994644.xml,FORM 4
0000320193-24-000110,2024-10-03,4,,,,20468,0,0,xslF345X05/wk-form4_1727994634.xml,FORM 4
0000320193-24-000109,2024-10-03,4,,,,18949,0,0,xslF345X05/wk-form4_1727994624.xml,FORM 4
0000320193-24-000108,2024-10-03,4,,,,14852,0,0,xslF345X05/wk-form4_1727994612.xml,FORM 4
0000320193-24-000101,2024-10-01,4,,,,8154,0,0,xslF345X05/wk-form4_1727822082.xml,FORM 4
0000320193-24-000100,2024-10-01,4,,,,5828,0,0,xslF345X05/wk-form4_1727822040.xml,FORM 4
0000320193-24-000099,2024-10-01,4,,,,8153,0,0,xslF345X05/wk-form4_1727821995.xml,FORM 4
0000320193-24-000098,2024-10-01,4,,,,8114,0,0,xslF345X05/wk-form4_1727821948.xml,FORM 4
0000320193-24-000097,2024-10-01,4,,,,8123,0,0,xslF345X05/wk-form4_1727821902.xml,FORM 4
0000320193-24-000096,2024-10-01,4,,,,10464,0,0,xslF345X05/wk-form4_1727821838.xml,FORM 4
0000320193-24-000088,2024-08-19,4,,,,4679,0,0,xslF345X05/wk-form4_1724106610.xml,FORM 4
0000320193-24-000086,2024-08-13,4,,,,5031,0,0,xslF345X05/wk-form4_1723590126.xml,FORM 4
0000320193-24-000084,2024-08-07,4,,,,8270,0,0,xslF345X05/wk-form4_1723069808.xml,FORM 4
0000320193-24-000075,2024-06-03,4,,,,5734,0,0,xslF345X05/wk-form4_1717453877.xml,FORM 4
0000320193-24-000073,2024-05-17,4,,,,4682,0,0,xslF345X05/wk-form4_1715985021.xml,FORM 4
0000320193-24-000071,2024-05-14,4,,,,4621,0,0,xslF345X05/wk-form4_1715725806.xml,FORM 4
0000320193-24-000058,2024-04-17,4,,,,16177,0,0,xslF345X05/wk-form4_1713393040.xml,FORM 4
0000320193-24-000056,2024-04-15,4,,,,5376,0,0,xslF345X05/wk-form4_1713220262.xml,FORM 4
0000320193-24-000055,2024-04-15,4,,,,8967,0,0,xslF345X05/wk-form4_1713220215.xml,FORM 4
0000320193-24-000052,2024-04-03,4,,,,13862,0,0,xslF345X05/wk-form4_1712183631.xml,FORM 4
0000320193-24-000051,2024-04-03,4,,,,15688,0,0,xslF345X05/wk-form4_1712183580.xml,FORM 4
0000320193-24-000050,2024-04-03,4,,,,13686,0,0,xslF345X05/wk-form4_1712183535.xml,FORM 4
0000320193-24-000049,2024-04-03,4,,,,15012,0,0,xslF345X05/wk-form4_1712183493.xml,FORM 4
0000320193-24-000048,2024-04-03,4,,,,15718,0,0,xslF345X05/wk-form4_1712183434.xml,FORM 4
0000320193-24-000039,2024-03-01,4,,,,5739,0,0,xslF345X05/wk-form4_1709336196.xml,FORM 4
0000320193-24-000038,2024-03-01,4,,,,5742,0,0,xslF345X05/wk-form4_1709336160.xml,FORM 4
0000320193-24-000037,2024-03-01,4,,,,5618,0,0,xslF345X05/wk-form4_1709336113.xml,FORM 4
0000320193-24-000036,2024-03-01,4,,,,8280,0,0,xslF345X05/wk-form4_1709336072.xml,FORM 4
0000320193-24-000035,2024-03-01,4,,,,5730,0,0,xslF345X05/wk-form4_1709336002.xml,FORM 4
