accessionNumber,filingDate,form,fileNumber,filmNumber,items,size,isXBRL,isInlineXBRL,primaryDocument,primaryDocDescription
0001018724-24-000202,2024-12-11,4,,,,4648,0,0,xslF345X05/wk-form4_1733955046.xml,FORM 4
0001018724-24-000200,2024-12-06,4,,,,4648,0,0,xslF345X05/wk-form4_1733522032.xml,FORM 4
0001936006-24-000004,2024-12-04,4,,,,5448,0,0,xslF345X05/wk-form4_1733352096.xml,FORM 4
0001374545-24-000002,2024-11-25,4,,,,24831,0,0,xslF345X05/wk-form4_1732571303.xml,FORM 4
0001936006-24-000002,2024-11-25,4,,,,20542,0,0,xslF345X05/wk-form4_1732570768.xml,FORM 4
0001639902-24-000002,2024-11-25,4,,,,13720,0,0,xslF345X05/wk-form4_1732570361.xml,FORM 4
0001557979-24-000002,2024-11-25,4,,,,24953,0,0,xslF345X05/wk-form4_1732569966.xml,FORM 4
0001397333-24-000002,2024-11-25,4,,,,29476,0,0,xslF345X05/wk-form4_1732569499.xml,FORM 4
0002024813-24-000002,2024-11-25,4,,,,16566,0,0,xslF345X05/wk-form4_1732568935.xml,FORM 4
0001043298-24-000002,2024-11-21,4,,,,6028,0,0,xslF345X05/wk-form4_1732226837.xml,FORM 4
0001018724-24-000197,2024-11-20,4,,,,5644,0,0,xslF345X05/wk-form4_1732144128.xml,FORM 4
0001018724-24-000195,2024-11-19,4,,,,9023,0,0,xslF345X05/wk-form4_1732062934.xml,FORM 4
0001018724-24-000191,2024-11-19,4,,,,13607,0,0,xslF345X05/wk-form4_1732062082.xml,FORM 4
0001018724-24-000189,2024-11-19,4,,,,4646,0,0,xslF345X05/wk-form4_1732061397.xml,FORM 4
0001018724-24-000187,2024-11-19,4,,,,6920,0,0,xslF345X05/wk-form4_1732061039.xml,FORM 4
0001018724-24-000185,2024-11-19,4,,,,6945,0,0,xslF345X05/wk-form4_1732060711.xml,FORM 4
0001018724-24-000183,2024-11-19,4,,,,8505,0,0,xslF345X05/wk-form4_1732060293.xml,FORM 4
0001018724-24-000181,2024-11-19,4,,,,6917,0,0,xslF345X05/wk-form4_1732059902.xml,FORM 4
0001018724-24-000179,2024-11-19,4,,,,7011,0,0,xslF345X05/wk-form4_1732059613.xml,FORM 4
0001018724-24-000177,2024-11-14,4,,,,16909,0,0,xslF345X05/wk-form4_1731619612.xml,FORM 4
0001018724-24-000175,2024-11-12,4,,,,4648,0,0,xslF345X05/wk-form4_1731447029.xml,FORM 4
0001018724-24-000173,2024-11-12,4,,,,16670,0,0,xslF345X05/wk-form4_1731446640.xml,FORM 4
0001018724-24-000171,2024-11-08,4,,,,18588,0,0,xslF345X05/wk-form4_1731102451.xml,FORM 4
0001018724-24-000169,2024-11-06,4,,,,4619,0,0,xslF345X05/wk-form4_1730929870.xml,FORM 4
0001018724-24-000167,2024-11-05,4,,,,4648,0,0,xslF345X05/wk-form4_1730843084.xml,FORM 4
0001018724-24-000165,2024-11-05,4,,,,5451,0,0,xslF345X05/wk-form4_1730842750.xml,FORM 4
0001018724-24-000163,2024-11-05,4,,,,5179,0,0,xslF345X05/wk-form4_1730842269.xml,FORM 4
0001018724-24-000156,2024-10-03,4,,,,5451,0,0,xslF345X05/wk-form4_1727986784.xml,FORM 4
0001018724-24-000154,2024-09-26,4,,,,4723,0,0,xslF345X05/wk-form4_1727383204.xml,FORM 4
0001018724-24-000152,2024-09-11,4,,,,5624,0,0,xslF345X05/wk-form4_1726096032.xml,FORM 4
0001018724-24-000150,2024-09-05,4,,,,5451,0,0,xslF345X05/wk-form4_1725567606.xml,FORM 4
0001018724-24-000148,2024-08-30,4,,,,6028,0,0,xslF345X05/wk-form4_1725049574.xml,FORM 4
0001018724-24-000146,2024-08-23,4,,,,19812,0,0,xslF345X05/wk-form4_1724447905.xml,FORM 4
0001018724-24-000144,2024-08-23,4,,,,17444,0,0,xslF345X05/wk-form4_1724447373.xml,FORM 4
0001018724-24-000142,2024-08-23,4,,,,11560,0,0,xslF345X05/wk-form4_1724446937.xml,FORM 4
0001018724-24-000140,2024-08-23,4,,,,13717,0,0,xslF345X05/wk-form4_1724446549.xml,FORM 4
0001018724-24-000138,2024-08-23,4,,,,16844,0,0,xslF345X05/wk-form4_1724446140.xml,FORM 4
0001018724-24-000136,2024-08-23,4,,,,26936,0,0,xslF345X05/wk-form4_1724445739.xml,FORM 4
0001018724-24-000134,2024-08-19,4,,,,13607,0,0,xslF345X05/wk-form4_1724100148.xml,FORM 4
0001018724-24-000132,2024-08-05,4,,,,5451,0,0,xslF345X05/wk-form4_1722889834.xml,FORM 4
