accessionNumber,filingDate,form,fileNumber,filmNumber,items,size,isXBRL,isInlineXBRL,primaryDocument,primaryDocDescription
0001771340-25-000001,2025-01-08,4,,,,34529,0,0,xslF345X05/edgardoc.xml,PRIMARY DOCUMENT
0000950170-25-003585,2025-01-08,4,,,,51433,0,0,xslF345X05/ownership.xml,4
0000950170-24-141705,2024-12-31,4,,,,5062,0,0,xslF345X05/ownership.xml,4
0001494731-24-000002,2024-12-13,4,,,,4563,0,0,xslF345X05/edgardoc.xml,PRIMARY DOCUMENT
0001771340-24-000009,2024-12-09,4,,,,8752,0,0,xslF345X05/edgardoc.xml,PRIMARY DOCUMENT
0000950170-24-134264,2024-12-06,4,,,,26301,0,0,xslF345X05/ownership.xml,4
0001771340-24-000008,2024-12-04,4,,,,20709,0,0,xslF345X05/edgardoc.xml,PRIMARY DOCUMENT
0000950170-24-133415,2024-12-04,4,,,,20807,0,0,xslF345X05/ownership.xml,4
0000950170-24-128931,2024-11-19,4,,,,28553,0,0,xslF345X05/ownership.xml,4
0001771340-24-000007,2024-11-13,4,,,,16081,0,0,xslF345X05/edgardoc.xml,PRIMARY DOCUMENT
0000950170-24-126580,2024-11-13,4,,,,52693,0,0,xslF345X05/ownership.xml,4
0001494731-24-000001,2024-11-05,4,,,,22084,0,0,xslF345X05/edgardoc.xml,PRIMARY DOCUMENT
0001771340-24-000006,2024-11-04,4,,,,15620,0,0,xslF345X05/edgardoc.xml,PRIMARY DOCUMENT
0001771340-24-000005,2024-10-28,4,,,,8853,0,0,xslF345X05/edgardoc.xml,PRIMARY DOCUMENT
0001771340-24-000004,2024-09-25,4,,,,9079,0,0,xslF345X05/edgardoc.xml,PRIMARY DOCUMENT
0001972928-24-000003,2024-09-09,4,,,,8729,0,0,xslF345X05/edgardoc.xml,PRIMARY DOCUMENT
0000950170-24-087441,2024-07-29,4,,,,31410,0,0,xslF345X05/ownership.xml,4
