company_name,relationship_to_issuer,title_of_security,transaction_date,transaction_code,acquired_or_disposed,transaction_shares,transaction_price,shares_owned_after
AAPL,"SVP, GC and Secretary",Common Stock,08/05/2024,S,D,"97,600",206.42,"193,943"
AAPL,"SVP, GC and Secretary",Common Stock,08/05/2024,S,D,"2,400",207.05,"191,543"
AAPL,"SVP, GC and Secretary",Common Stock,08/07/2024,G,D,"4,500",0,"187,043"
AAPL,Principal Accounting Officer,Common Stock,08/09/2024,S,D,"5,178",216.5,"24,125(1)"
AAPL,Principal Accounting Officer,Common Stock,08/15/2024,S,D,"8,706",225,"15,419"
AAPL,Senior Vice President,Common Stock,10/01/2024,M,A,"127,282",,"263,854"
AAPL,Senior Vice President,Common Stock(3),10/01/2024,F,D,"66,263",226.21,"197,591"
AAPL,Senior Vice President,Common Stock(4),10/02/2024,S,D,"38,691",226.72,"158,900"
AAPL,Senior Vice President,Common Stock(4),10/02/2024,S,D,"22,328",227.13,"136,572"
AAPL,Chief Executive Officer,Common Stock,10/01/2024,M,A,"477,301",,"3,757,481"
AAPL,Chief Executive Officer,Common Stock(4),10/01/2024,F,D,"253,315",226.21,"3,504,166"
AAPL,Chief Executive Officer,Common Stock(5),10/02/2024,S,D,"109,741",223.75,"3,394,425"
AAPL,Chief Executive Officer,Common Stock(5),10/02/2024,S,D,"61,912",224.46,"3,332,513"
AAPL,Chief Executive Officer,Common Stock(5),10/02/2024,S,D,"45,140",225.86,"3,287,373"
AAPL,Chief Executive Officer,Common Stock(5),10/02/2024,S,D,"7,193",226.57,"3,280,180"
AAPL,"SVP, GC and Secretary",Common Stock,10/01/2024,M,A,"127,282",,"314,325"
AAPL,"SVP, GC and Secretary",Common Stock(3),10/01/2024,F,D,"66,263",226.21,"248,062"
AAPL,"SVP, GC and Secretary",Common Stock(4),10/02/2024,S,D,"5,850",223.79,"242,212"
AAPL,"SVP, GC and Secretary",Common Stock(4),10/02/2024,S,D,"6,454",224.59,"235,758"
AAPL,"SVP, GC and Secretary",Common Stock(4),10/02/2024,S,D,"7,550",225.87,"228,208"
AAPL,"SVP, GC and Secretary",Common Stock(4),10/02/2024,S,D,"38,170",226.82,"190,038"
AAPL,"SVP, GC and Secretary",Common Stock(4),10/02/2024,S,D,"2,995",227.24,"187,043"
AAPL,"Senior Vice President, CFO",Common Stock,10/01/2024,M,A,"127,282",,"235,070"
AAPL,"Senior Vice President, CFO",Common Stock(3),10/01/2024,F,D,"67,977",226.21,"167,093"
AAPL,COO,Common Stock,10/01/2024,M,A,"127,282",,"617,226"
AAPL,COO,Common Stock(4),10/01/2024,F,D,"67,552",226.21,"549,674"
AAPL,COO,Common Stock(5),10/02/2024,S,D,"51,674",226.8,"498,000"
AAPL,COO,Common Stock(5),10/02/2024,S,D,"8,056",227.22,"489,944"
AAPL,"Senior Vice President, CFO",Common Stock(1),10/04/2024,S,D,"59,305",226.52,"107,788"
AAPL,Principal Accounting Officer,Common Stock,10/15/2024,M,A,"8,115",,"23,534"
AAPL,Principal Accounting Officer,Common Stock(2),10/15/2024,F,D,"3,985",233.85,"19,549"
AAPL,"SVP, GC and Secretary",Common Stock,11/05/2024,G,D,"8,000",0,"179,043"
AAPL,Principal Accounting Officer,Common Stock,11/18/2024,S,D,"4,130",228.87,"15,419"
AAPL,,Common Stock,11/15/2024,S,D,"75,000",224.68,"4,284,576"
AAPL,,Common Stock,11/18/2024,S,D,"75,000",228.66,"4,209,576"
AAPL,,Common Stock,11/19/2024,S,D,"50,000",229.28,"4,159,576"
AAPL,,Common Stock,,,,,,"56,000"
AAPL,COO,Common Stock(1),12/16/2024,S,D,"13,925",248.61,"476,019"
AAPL,COO,Common Stock(1),12/16/2024,S,D,"34,752",249.5,"441,267"
AAPL,COO,Common Stock(1),12/16/2024,S,D,"42,939",250.58,"398,328"
AAPL,COO,Common Stock(1),12/16/2024,S,D,"8,384",251.1,"389,944"
AMZN,CEO Worldwide Amazon Stores,"Common Stock, par value $.01  per share",08/01/2024,S(1),D,"3,500",189.25,"503,753"
AMZN,CEO Worldwide Amazon Stores,"Common Stock, par value $.01  per share",,,,,,"6,576.468"
AMZN,CEO Worldwide Amazon Stores,"Common Stock, par value $.01  per share",08/15/2024,M,A,"13,753",0,"517,506"
AMZN,CEO Worldwide Amazon Stores,"Common Stock, par value $.01  per share",08/15/2024,S(1),D,"1,900",174.7332,"515,606"
AMZN,CEO Worldwide Amazon Stores,"Common Stock, par value $.01  per share",08/15/2024,S(1),D,"3,102",175.4903,"512,504"
AMZN,CEO Worldwide Amazon Stores,"Common Stock, par value $.01  per share",08/15/2024,S(1),D,500,176.184,"512,004"
AMZN,CEO Worldwide Amazon Stores,"Common Stock, par value $.01  per share",,,,,,"6,578.357"
AMZN,Vice President,"Common Stock, par value $.01  per share",08/21/2024,M,A,"2,340",0,"122,120"
AMZN,Vice President,"Common Stock, par value $.01  per share",08/21/2024,M,A,360,0,"122,480"
AMZN,Vice President,"Common Stock, par value $.01  per share",08/21/2024,M,A,"2,772",0,"125,252"
AMZN,Vice President,"Common Stock, par value $.01  per share",08/21/2024,S(1),D,"1,100",180.294,"124,152"
AMZN,Vice President,"Common Stock, par value $.01  per share",08/21/2024,S(3),D,389,180.4479,"123,763"
AMZN,Vice President,"Common Stock, par value $.01  per share",08/21/2024,S(3),D,594,181.3973,"123,169"
